source_sector,target_sector,source_variable,target_variable,best_lag,n_obs,f_stat,p_value,p_value_fdr_bh,p_value_bonferroni,significant_raw_05,significant_fdr_05,significant_bonferroni_05,alpha,lag_selection_method,ljungbox_pvalue,ljungbox_white_noise,status,error_message,edge_weight
ConsumerStaples,ConsumerDiscretionary,sent_ConsumerStaples,ret_ConsumerDiscretionary,2,250,0.513908500238391,0.598801742812832,0.7411071300008216,1.0,False,False,False,0.05,var_aic,0.17787983891398773,True,ok,,0.1301190084777789
ConsumerStaples,Energy,sent_ConsumerStaples,ret_Energy,1,250,0.004197480326502754,0.948395441168442,0.993678540072064,1.0,False,False,False,0.05,var_aic,0.03686058699626678,False,ok,,0.0027540892972587705
ConsumerStaples,IndustrialLogistics,sent_ConsumerStaples,ret_IndustrialLogistics,2,250,0.05109661847379615,0.9501970667771984,0.993678540072064,1.0,False,False,False,0.05,var_aic,0.30922840358505,True,ok,,0.0027540892972587705
ConsumerStaples,Healthcare,sent_ConsumerStaples,ret_Healthcare,1,250,1.3375867525683314,0.24858187933249576,0.4302378680754735,1.0,False,False,False,0.05,var_aic,0.3994649173254883,True,ok,,0.36629136714139393
ConsumerStaples,Utilities,sent_ConsumerStaples,ret_Utilities,2,250,0.5833811595458268,0.5587880276626599,0.7288539491252085,1.0,False,False,False,0.05,var_aic,0.10996917733516158,True,ok,,0.13735948875153273
ConsumerDiscretionary,Banking,sent_ConsumerDiscretionary,ret_Banking,1,250,3.4798409309248184,0.06331110420285256,0.31060859987467787,1.0,False,False,False,0.05,var_aic,0.011644900351570406,False,ok,,0.5077865240536513
ConsumerDiscretionary,RealEstate,sent_ConsumerDiscretionary,ret_RealEstate,1,250,5.503369017380825,0.01977462247733487,0.20287991160060753,1.0,True,False,False,0.05,var_aic,0.008324938641344733,False,ok,,0.6927609530303049
ConsumerDiscretionary,SteelMaterials,sent_ConsumerDiscretionary,ret_SteelMaterials,4,250,2.4312133389989787,0.04831616628119891,0.2717784353317439,1.0,True,False,False,0.05,var_aic,0.20491888015461526,True,ok,,0.5657850059845929
ConsumerDiscretionary,Technology,sent_ConsumerDiscretionary,ret_Technology,4,250,2.780167987040981,0.027556642024809324,0.20287991160060753,1.0,True,False,False,0.05,var_aic,0.2964651918433416,True,ok,,0.6927609530303049
ConsumerDiscretionary,ConsumerStaples,sent_ConsumerDiscretionary,ret_ConsumerStaples,4,250,2.272994604305982,0.06212321659779825,0.31060859987467787,1.0,False,False,False,0.05,var_aic,0.19026940692867456,True,ok,,0.5077865240536513
ConsumerDiscretionary,Energy,sent_ConsumerDiscretionary,ret_Energy,5,250,3.1534945774687806,0.008944710506829424,0.20125598640366202,0.8050239456146482,True,False,False,0.05,var_aic,0.9622810802048976,True,ok,,0.6962511925829026
ConsumerDiscretionary,IndustrialLogistics,sent_ConsumerDiscretionary,ret_IndustrialLogistics,4,250,2.042521894951679,0.0891850772493789,0.31060859987467787,1.0,False,False,False,0.05,var_aic,0.5441840974869772,True,ok,,0.5077865240536513
ConsumerDiscretionary,Healthcare,sent_ConsumerDiscretionary,ret_Healthcare,1,250,8.706196988886425,0.003477395929432478,0.1564828168244615,0.312965633648923,True,False,False,0.05,var_aic,0.011671317214599628,False,ok,,0.8055333448142092
ConsumerDiscretionary,Utilities,sent_ConsumerDiscretionary,ret_Utilities,4,250,1.5604265723216857,0.18562449983876617,0.41313575732890084,1.0,False,False,False,0.05,var_aic,0.3404732228359268,True,ok,,0.38390721475816286
Energy,Banking,sent_Energy,ret_Banking,1,250,0.7435127576264414,0.3893777182914425,0.5785769829777072,1.0,False,False,False,0.05,var_aic,0.2120333248313702,True,ok,,0.23763884750207553
Energy,RealEstate,sent_Energy,ret_RealEstate,1,250,0.46745759030906847,0.49480262132605224,0.674403811790436,1.0,False,False,False,0.05,var_aic,0.10495789528187387,True,ok,,0.1710799837052682
Energy,SteelMaterials,sent_Energy,ret_SteelMaterials,3,250,1.6083341459680944,0.18807039643995763,0.41313575732890084,1.0,False,False,False,0.05,var_aic,0.46975626317767083,True,ok,,0.38390721475816286
Energy,Technology,sent_Energy,ret_Technology,1,250,2.629563353583605,0.10617150926051708,0.3294977873602254,1.0,False,False,False,0.05,var_aic,0.12117249323515127,True,ok,,0.48214749742951907
Energy,ConsumerStaples,sent_Energy,ret_ConsumerStaples,3,250,1.9649872649065265,0.11987716357084782,0.34194240430028006,1.0,False,False,False,0.05,var_aic,0.16493107905930357,True,ok,,0.46604703897617056
Energy,ConsumerDiscretionary,sent_Energy,ret_ConsumerDiscretionary,3,250,2.160686936181836,0.0933072016264672,0.31102400542155734,1.0,False,False,False,0.05,var_aic,0.2083491990475043,True,ok,,0.5072060900092369
Energy,IndustrialLogistics,sent_Energy,ret_IndustrialLogistics,3,250,2.2094566092022574,0.08763197927058675,0.31060859987467787,1.0,False,False,False,0.05,var_aic,0.5920205136435223,True,ok,,0.5077865240536513
Energy,Healthcare,sent_Energy,ret_Healthcare,3,250,2.304108479353699,0.07755961133144185,0.31060859987467787,1.0,False,False,False,0.05,var_aic,0.8501039996164135,True,ok,,0.5077865240536513
Energy,Utilities,sent_Energy,ret_Utilities,3,250,0.4797426019876462,0.6966724137155035,0.8142924316155236,1.0,False,False,False,0.05,var_aic,0.18095424472463723,True,ok,,0.08921960170831716
IndustrialLogistics,Banking,sent_IndustrialLogistics,ret_Banking,1,250,7.42609331905139e-06,0.9978279072371509,0.9978279072371509,1.0,False,False,False,0.05,var_aic,0.0021732797637893445,False,ok,,0.0009443538848980788
IndustrialLogistics,RealEstate,sent_IndustrialLogistics,ret_RealEstate,2,250,3.515093666007014,0.03126655409376738,0.20287991160060753,1.0,True,False,False,0.05,var_aic,0.05827687841479613,True,ok,,0.6927609530303049
IndustrialLogistics,SteelMaterials,sent_IndustrialLogistics,ret_SteelMaterials,3,250,0.13383820544610667,0.9398262698009955,0.993678540072064,1.0,False,False,False,0.05,var_aic,0.3151682507442587,True,ok,,0.0027540892972587705
IndustrialLogistics,Technology,sent_IndustrialLogistics,ret_Technology,4,250,1.3643001918416457,0.2470324893128407,0.4302378680754735,1.0,False,False,False,0.05,var_aic,0.4736306507685394,True,ok,,0.36629136714139393
IndustrialLogistics,ConsumerStaples,sent_IndustrialLogistics,ret_ConsumerStaples,5,250,2.5858838211947597,0.0267290901961313,0.20287991160060753,1.0,True,False,False,0.05,var_aic,0.34630387953015296,True,ok,,0.6927609530303049
IndustrialLogistics,ConsumerDiscretionary,sent_IndustrialLogistics,ret_ConsumerDiscretionary,5,250,2.838052967591607,0.016494765090798166,0.20287991160060753,1.0,True,False,False,0.05,var_aic,0.2686561464277787,True,ok,,0.6927609530303049
IndustrialLogistics,Energy,sent_IndustrialLogistics,ret_Energy,5,250,4.406530591210043,0.0007458069399266271,0.06712262459339643,0.06712262459339643,True,False,False,0.05,var_aic,0.240267612582318,True,ok,,1.1731310702940136
IndustrialLogistics,Healthcare,sent_IndustrialLogistics,ret_Healthcare,4,250,1.4311333670120931,0.2243329227310616,0.42957368182543704,1.0,False,False,False,0.05,var_aic,0.4675913970626505,True,ok,,0.36696233389162086
IndustrialLogistics,Utilities,sent_IndustrialLogistics,ret_Utilities,5,250,0.9275939300891387,0.4637380096004744,0.6521315760006671,1.0,False,False,False,0.05,var_aic,0.2079758632539368,True,ok,,0.18566477088462974
Healthcare,Banking,sent_Healthcare,ret_Banking,1,250,3.1289648275635935,0.07815170080343987,0.31060859987467787,1.0,False,False,False,0.05,var_aic,0.40307623526955183,True,ok,,0.5077865240536513
Healthcare,RealEstate,sent_Healthcare,ret_RealEstate,1,250,0.09279809176929563,0.7609072026433746,0.8668563068089078,1.0,False,False,False,0.05,var_aic,0.1165012295547904,True,ok,,0.062052886759018676
Healthcare,SteelMaterials,sent_Healthcare,ret_SteelMaterials,1,250,0.45191854419067123,0.5020561709995468,0.674403811790436,1.0,False,False,False,0.05,var_aic,0.044974188316745836,False,ok,,0.1710799837052682
Healthcare,Technology,sent_Healthcare,ret_Technology,1,250,2.5620359529892482,0.11074093655514484,0.33222280966543455,1.0,False,False,False,0.05,var_aic,0.1535992630395858,True,ok,,0.4785705531857715
Healthcare,ConsumerStaples,sent_Healthcare,ret_ConsumerStaples,1,250,1.219299716477058,0.27057702858110844,0.4348559387910671,1.0,False,False,False,0.05,var_aic,0.07119235127420633,True,ok,,0.361654594425523
Healthcare,ConsumerDiscretionary,sent_Healthcare,ret_ConsumerDiscretionary,1,250,1.2780749822247883,0.2593582737243124,0.4322637895405207,1.0,False,False,False,0.05,var_aic,0.03288014141166309,False,ok,,0.3642511435119167
Healthcare,Energy,sent_Healthcare,ret_Energy,1,250,4.6755560500969215,0.031559097360094504,0.20287991160060753,1.0,True,False,False,0.05,var_aic,0.043599927934761244,False,ok,,0.6927609530303049
Healthcare,IndustrialLogistics,sent_Healthcare,ret_IndustrialLogistics,1,250,1.579091113944186,0.21008358165485053,0.42016716330970105,1.0,False,False,False,0.05,var_aic,0.14783696063610974,True,ok,,0.3765778913651862
Healthcare,Utilities,sent_Healthcare,ret_Utilities,2,250,0.818639808825917,0.44224368347326815,0.6317766906760974,1.0,False,False,False,0.05,var_aic,0.19827089570276576,True,ok,,0.1994364013771993
Utilities,Banking,sent_Utilities,ret_Banking,1,250,0.06662319765266161,0.7965341965094489,0.89610097107313,1.0,False,False,False,0.05,var_aic,0.4281385677756438,True,ok,,0.04764305204628695
Utilities,RealEstate,sent_Utilities,ret_RealEstate,2,250,1.4488815979864733,0.23685414544721592,0.4302378680754735,1.0,False,False,False,0.05,var_aic,0.4101482472145638,True,ok,,0.36629136714139393
Utilities,SteelMaterials,sent_Utilities,ret_SteelMaterials,1,250,0.7123538381777567,0.39948349716891707,0.5798953991161699,1.0,False,False,False,0.05,var_aic,0.04477560536494818,False,ok,,0.2366503369258419
Utilities,Technology,sent_Utilities,ret_Technology,1,250,0.0005601370587804346,0.9811372437587064,0.993678540072064,1.0,False,False,False,0.05,var_aic,0.1377139796620491,True,ok,,0.0027540892972587705
Utilities,ConsumerStaples,sent_Utilities,ret_ConsumerStaples,1,250,0.038976322306192024,0.8436586053685294,0.9259667619898494,1.0,False,False,False,0.05,var_aic,0.09811106584891695,True,ok,,0.03340460224190131
Utilities,ConsumerDiscretionary,sent_Utilities,ret_ConsumerDiscretionary,2,250,1.4258466075086287,0.2423081348527704,0.4302378680754735,1.0,False,False,False,0.05,var_aic,0.15758338637111907,True,ok,,0.36629136714139393
Utilities,Energy,sent_Utilities,ret_Energy,2,250,3.240147435259001,0.040856205236097516,0.2451372314165851,1.0,True,False,False,0.05,var_aic,0.020892426031033574,False,ok,,0.6105907231387384
Utilities,IndustrialLogistics,sent_Utilities,ret_IndustrialLogistics,1,250,1.0863282343042888,0.2983093900246585,0.4628938810727459,1.0,False,False,False,0.05,var_aic,0.15095290007270507,True,ok,,0.3345185600551792
Utilities,Healthcare,sent_Utilities,ret_Healthcare,1,250,1.8856117609139202,0.17094800310696825,0.41313575732890084,1.0,False,False,False,0.05,var_aic,0.4906301905363516,True,ok,,0.38390721475816286
