s_sector,r_sector,lag,corr,pvalue,significant,n_obs
SteelMaterials,Utilities,5,-0.024088383680960095,0.7075347295647623,False,245
Technology,Banking,0,0.06144815585607011,0.33323106014575454,False,250
Technology,Banking,1,-0.07952226600838863,0.21111421692631557,False,249
Technology,Banking,2,-0.13785929216475787,0.02997536151700633,True,248
Technology,Banking,3,-0.04863638409289846,0.44668461338086707,False,247
Technology,Banking,4,-0.0469296768431978,0.4637303739403828,False,246
Technology,Banking,5,0.005872082035077282,0.9271403069202138,False,245
Technology,RealEstate,0,0.04928667022458547,0.43783348628275165,False,250
Technology,RealEstate,1,0.09947295158901259,0.11743195139433253,False,249
Technology,RealEstate,2,0.04058083484507076,0.5247105168689085,False,248
Technology,RealEstate,3,0.006569654063108743,0.9181791804270376,False,247
Technology,RealEstate,4,-0.05448173031280427,0.3948846675563446,False,246
Technology,RealEstate,5,0.006971649676044947,0.9135460689187894,False,245
Technology,SteelMaterials,0,0.025377470155972182,0.6896674079915256,False,250
Technology,SteelMaterials,1,0.0010999546922505973,0.9862214882438535,False,249
Technology,SteelMaterials,2,-0.06905930853874204,0.2786545911105884,False,248
Technology,SteelMaterials,3,-0.09068865074071893,0.15532143420377365,False,247
Technology,SteelMaterials,4,-0.0566731215428374,0.3761202382129158,False,246
Technology,SteelMaterials,5,-0.012273982868499976,0.8484136246421019,False,245
Technology,Technology,0,0.12892868893190185,0.04166668419688764,True,250
Technology,Technology,1,-0.021493291322477754,0.7357469002003435,False,249
Technology,Technology,2,-0.12770388207255298,0.04452056998996444,True,248
Technology,Technology,3,-0.15322391160094515,0.01594655131431705,True,247
Technology,Technology,4,-0.05998952830362997,0.3487838097895666,False,246
Technology,Technology,5,-0.052137966487285775,0.41652342420008104,False,245
Technology,ConsumerStaples,0,0.0634391807988771,0.317774675482196,False,250
Technology,ConsumerStaples,1,-0.011772849602457378,0.8533513284506495,False,249
Technology,ConsumerStaples,2,-0.07525132477710425,0.2377032560035277,False,248
Technology,ConsumerStaples,3,-0.0971376104869944,0.12788483573515969,False,247
Technology,ConsumerStaples,4,-0.1246472731230952,0.050857444047965224,False,246
Technology,ConsumerStaples,5,0.06024042039279875,0.34776019365144667,False,245
Technology,ConsumerDiscretionary,0,0.054578234966372,0.3901895955157283,False,250
Technology,ConsumerDiscretionary,1,-0.01706350731174975,0.7887591395931202,False,249
Technology,ConsumerDiscretionary,2,-0.06310794625388541,0.32227626460714714,False,248
Technology,ConsumerDiscretionary,3,-0.004860459675657965,0.9394182344810758,False,247
Technology,ConsumerDiscretionary,4,-0.060383892297600765,0.3456187372994792,False,246
Technology,ConsumerDiscretionary,5,0.025007192386635076,0.6969184193204595,False,245
Technology,Energy,0,0.11401176956831721,0.07193610312114841,False,250
Technology,Energy,1,-0.010073228144572387,0.8743330341909727,False,249
Technology,Energy,2,-0.15880709277167052,0.012273776985649344,True,248
Technology,Energy,3,-0.1577508728241194,0.01305610835214521,True,247
Technology,Energy,4,-0.05158466912265157,0.42053722233073565,False,246
Technology,Energy,5,0.13078446357655993,0.04081295266314457,True,245
Technology,IndustrialLogistics,0,0.09549939349105067,0.13210455436903606,False,250
Technology,IndustrialLogistics,1,0.02221379906329221,0.7272341109029515,False,249
Technology,IndustrialLogistics,2,-0.13405135102713345,0.034866133073816405,True,248
Technology,IndustrialLogistics,3,-0.1763096255817999,0.005458229634227657,True,247
Technology,IndustrialLogistics,4,-0.05101856063865624,0.42566115936201165,False,246
Technology,IndustrialLogistics,5,0.04967870229748414,0.43887394118271517,False,245
Technology,Healthcare,0,-0.013204584366176254,0.8354276536817445,False,250
Technology,Healthcare,1,0.04149853210056644,0.5145161971485875,False,249
